Item,Size,Unit
Amla,0.5,Kg
Apples New Zealand,1,Kg
Apples Washington,1,Kg
Arbi Leaves,6,Pieces
Arbi/Colocasia,0.5,Kg
Assorted Flowers Large,1,Kg
Assorted Mango Box,2,Kg
Baby Corn,0.3,Kg
Banana,6,Pieces
Basil Leaves,0.2,Kg
Beetroot,0.5,Kg
Bhindi/Lady's Finger,0.5,Kg
Bitter Gourd,0.3,Kg
Bottle Gourd,1,Pieces
Brinjal Bharta,1,Pieces
Brinjal Kateri,0.5,Kg
Broccoli,0.25,Kg
Button Mushroom,0.2,Kg
Cabbage,1,Pieces
Capsicum,0.5,Kg
Cauliflower,1,Pieces
Chausa Mangoes,2,Kg
Cherry Tomatoes,0.25,Kg
Coriander Leaves,0.25,Kg
Cucumber,0.5,Kg
Curry Leaves,1,Bunch
Drumsticks,0.25,Kg
Elaichi Banana Premium,1,Doz
Elaichi Banana Regular,1,Doz
Flowers Small,0.5,Kg
French Beans,0.5,Kg
Garlic,0.25,Kg
Gawar/Cluster Beans,0.3,kg
Ginger,0.25,kg
Green Chilly,0.2,kg
Green Zucchini,1,Pieces
Haldi/Turmeric Powder,0.5,Kg
Imported Oranges,4,Pieces
Imported Pear,1,Kg
Indian Pear,1,Kg
Kiwi Zespri,3,Pieces
Kiwi Zespri Imported,3,Pieces
Langra Mangoes,2,Kg
Lemongrass,1,Bunch
Lemons,5,Pieces
Lettuce,0.25,Kg
Methi Leaves,0.35,kg
Mint Leaves,1,Bunch
Mosambi,1,Kg
Muskmelon,1,Pieces
Palak/Spinach,1,Bunch
Papaya,1,Pieces
Pineapple Whole,1,Pieces
Pomegranate Premium,3,Pieces
Pomegranate Regular,1,Kg
Potatoes,1,Kg
Premium Long Raisins,0.24,Kg
Premium Sitaphal,1,Kg
Pumpkin,0.5,Kg
Raw Banana,0.5,Kg
Red Onions,1,Kg
Red/Yellow Bell Peppers,4,Pieces
Shepu/Dill Leaves,1,Bunch
Sitaphal,1,Kg
Sponge Gourd,0.5,Kg
Sweet Corn,2,Pieces
Tomato,1,Kg
Tondli,0.5,Kg
VNR Guava,1,Kg
Watermelon,1,Pieces
Yellow Zucchini,1,Pieces
